               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.037403,             0.02275,                   0,             0.91869,             0.89001,             0.93615,             0.51265,            0.031926,            0.022424,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.035537,            0.021376,                   0,             0.93066,             0.87329,             0.94083,              0.4177,            0.032347,            0.022334,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.035847,             0.02197,                   0,             0.70843,             0.86644,             0.84725,             0.52379,            0.030721,            0.022665,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.034492,            0.020988,                   0,             0.90557,             0.88677,             0.94916,             0.49892,            0.030814,             0.02282,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.031754,            0.022527,                   0,             0.92844,             0.89041,             0.94843,             0.43382,            0.034698,            0.022828,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.037022,            0.021249,                   0,             0.80427,             0.78082,             0.86346,             0.44466,            0.033622,            0.022515,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.037783,            0.021156,                   0,             0.93078,             0.92103,             0.96146,              0.5005,            0.028891,            0.022358,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.031819,            0.020187,                   0,             0.95187,             0.88699,             0.95541,             0.47828,            0.029869,             0.02249,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.034627,            0.018233,                   0,             0.77121,             0.83219,             0.87226,             0.47668,            0.031709,            0.022577,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.03924,            0.018378,                   0,             0.95515,             0.88014,             0.94737,             0.43138,            0.034444,            0.022734,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.033762,            0.020584,                   0,             0.95253,             0.89339,             0.95692,             0.54216,            0.029475,            0.022878,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.034837,            0.019541,                   0,             0.96267,             0.88356,             0.96032,             0.52615,            0.029525,            0.022415,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.033111,            0.019394,                   0,             0.92466,             0.92463,             0.95905,             0.56677,            0.029508,             0.02233,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.033392,            0.019652,                   0,             0.92795,             0.93493,             0.96586,             0.58643,            0.025535,            0.022282,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.031391,            0.020247,                   0,             0.93356,             0.91436,             0.95508,             0.46416,            0.036526,            0.022023,                   0,             0.00538,             0.00538,             0.00538
                  72,              0.0361,            0.021329,                   0,             0.93771,             0.92796,             0.96314,              0.6268,             0.02522,            0.021994,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.031723,            0.019631,                   0,             0.95209,             0.88699,             0.95411,             0.48798,            0.029727,            0.022376,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.029552,             0.01904,                   0,              0.9454,             0.89384,             0.95773,             0.56858,            0.026135,            0.022266,                   0,            0.005182,            0.005182,            0.005182
                  75,             0.03643,             0.02194,                   0,             0.94798,             0.88014,              0.9425,             0.38158,            0.035558,            0.022533,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.033365,            0.018235,                   0,             0.94975,             0.91781,             0.96252,             0.54843,            0.027789,            0.021913,                   0,             0.00505,             0.00505,             0.00505
                  77,             0.03161,            0.020001,                   0,             0.94624,              0.9041,             0.95387,             0.46601,             0.03231,            0.021964,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.033364,            0.018481,                   0,             0.92308,             0.90411,             0.94631,             0.50516,            0.027601,            0.021797,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.034545,            0.022155,                   0,             0.92881,             0.93824,             0.96167,             0.60368,            0.025953,            0.021654,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.029826,            0.020637,                   0,             0.95688,             0.91438,             0.96087,             0.56009,            0.027187,            0.021735,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.030374,            0.022528,                   0,             0.95332,             0.91096,             0.96555,              0.6014,            0.024514,            0.021548,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.032842,            0.020526,                   0,             0.94999,             0.91081,             0.96285,             0.48905,            0.030584,            0.021629,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.032933,            0.019857,                   0,              0.9377,             0.92789,             0.96816,             0.54826,            0.027383,            0.021451,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.028358,            0.017433,                   0,             0.94674,             0.91781,             0.96072,             0.62052,            0.023988,            0.021069,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.031306,            0.019183,                   0,             0.94309,             0.91438,             0.95494,             0.48472,            0.029675,            0.021411,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.029827,            0.020126,                   0,             0.95035,              0.9178,             0.96026,             0.55129,            0.026547,            0.021175,                   0,             0.00439,             0.00439,             0.00439
                  87,             0.02866,            0.017363,                   0,             0.95653,             0.91096,             0.96366,              0.6326,            0.023916,            0.020965,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.030754,            0.017882,                   0,             0.94553,             0.90068,             0.95024,             0.46741,             0.03191,            0.021238,                   0,            0.004258,            0.004258,            0.004258
                  89,             0.03064,            0.020477,                   0,             0.96338,             0.90411,             0.96173,             0.59616,            0.025523,             0.02095,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.028734,            0.019212,                   0,             0.94577,             0.89726,             0.95088,             0.50414,            0.029568,            0.021287,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.031093,            0.020888,                   0,             0.95714,             0.91773,             0.96522,             0.62478,            0.023163,            0.021037,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.030788,            0.017231,                   0,             0.95346,             0.91438,             0.96206,             0.60616,            0.025089,            0.021147,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.030235,            0.021953,                   0,             0.95713,             0.91751,             0.96215,             0.59462,            0.024673,            0.021076,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.028748,            0.019359,                   0,             0.94013,              0.9142,             0.95745,             0.59462,            0.027281,            0.021145,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.027821,            0.019897,                   0,             0.93002,             0.91096,             0.95747,             0.60759,             0.02615,             0.02107,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.027143,            0.020455,                   0,              0.9466,             0.91438,             0.96085,             0.59715,            0.026234,            0.021042,                   0,             0.00373,             0.00373,             0.00373
                  97,             0.03005,            0.022405,                   0,             0.93605,             0.91781,             0.96199,             0.62398,            0.025254,            0.021333,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.029338,            0.022061,                   0,             0.95609,             0.89726,             0.95931,             0.57316,            0.027663,            0.021365,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.029211,            0.018293,                   0,             0.95658,             0.90753,             0.96229,             0.59557,            0.025866,            0.021032,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.026732,            0.017453,                   0,             0.97048,             0.90064,              0.9626,             0.59819,            0.025249,            0.020852,                   0,            0.003466,            0.003466,            0.003466
                 101,              0.0282,            0.019629,                   0,             0.96693,             0.90411,             0.96128,             0.59266,             0.02592,            0.020799,                   0,              0.0034,              0.0034,              0.0034
